"Symbol","Name","Sector","Industry","Summary Quote"
"EVOK","Evoke Pharma, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/evok"
"EVOL","Evolving Systems, Inc.","Technology","EDP Services","http://www.nasdaq.com/symbol/evol"
"EXA","Exa Corporation","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/exa"
"EXAS","Exact Sciences Corporation","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exas"
"EXAC","Exactech, Inc.","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/exac"
"XELA","Exela Technologies, Inc.","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xela"
"XELAU","Exela Technologies, Inc.","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xelau"
"XELAW","Exela Technologies, Inc.","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xelaw"
"EXEL","Exelixis, Inc.","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exel"
"EXFO","EXFO Inc","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/exfo"
"EXLS","ExlService Holdings, Inc.","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/exls"
"EXPE","Expedia, Inc.","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/expe"
"EXPD","Expeditors International of Washington, Inc.","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd"
"EXPO","Exponent, Inc.","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/expo"
"ESRX","Express Scripts Holding Company","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/esrx"
"XOG","Extraction Oil & Gas, Inc.","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xog"
"EXTR","Extreme Networks, Inc.","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/extr"
"EYEG","Eyegate Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eyeg"
"EYEGW","Eyegate Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eyegw"
"EZPW","EZCORP, Inc.","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/ezpw"
"FFIV","F5 Networks, Inc.","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ffiv"
"FB","Facebook, Inc.","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb"
"FALC","FalconStor Software, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc"
"DAVE","Famous Dave&#39","","",""
"FANH","Fanhua Inc.","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/fanh"
"FARM","Farmer Brothers Company","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/farm"
"FMAO","Farmers & Merchants Bancorp, Inc.","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fmao"
"FFKT","Farmers Capital Bank Corporation","Finance","Major Banks","http://www.nasdaq.com/symbol/ffkt"
"FMNB","Farmers National Banc Corp.","Finance","Major Banks","http://www.nasdaq.com/symbol/fmnb"
"FARO","FARO Technologies, Inc.","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/faro"
"FAST","Fastenal Company","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/fast"
"FATE","Fate Therapeutics, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/fate"
"FBSS","Fauquier Bankshares, Inc.","Finance","Major Banks","http://www.nasdaq.com/symbol/fbss"
"FSACU","Federal Street Acquisition Corp.","n/a","n/a","http://www.nasdaq.com/symbol/fsacu"
"FNHC","Federated National Holding Company","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/fnhc"
"FHCO","Female Health Company (The)","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/fhco"
"GSM","Ferroglobe PLC","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gsm"
"FCSC","Fibrocell Science Inc","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fcsc"
"FGEN","FibroGen, Inc","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fgen"
"ONEQ","Fidelity Nasdaq Composite Index Tracking Stock","n/a","n/a","http://www.nasdaq.com/symbol/oneq"
"LION","Fidelity Southern Corporation","Finance","Major Banks","http://www.nasdaq.com/symbol/lion"
"FDUS","Fidus Investment Corporation","n/a","n/a","http://www.nasdaq.com/symbol/fdus"
"FRGI","Fiesta Restaurant Group, Inc.","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/frgi"
"FSAM","Fifth Street Asset Management Inc.","Finance","Investment Managers","http://www.nasdaq.com/symbol/fsam"
"FSC","Fifth Street Finance Corp.","n/a","n/a","http://www.nasdaq.com/symbol/fsc"
"FSCFL","Fifth Street Finance Corp.","n/a","n/a","http://www.nasdaq.com/symbol/fscfl"
"FSFR","Fifth Street Senior Floating Rate Corp.","n/a","n/a","http://www.nasdaq.com/symbol/fsfr"
"FITB","Fifth Third Bancorp","Finance","Major Banks","http://www.nasdaq.com/symbol/fitb"
"FITBI","Fifth Third Bancorp","Finance","Major Banks","http://www.nasdaq.com/symbol/fitbi"
"FNGN","Financial Engines, Inc.","Finance","Investment Managers","http://www.nasdaq.com/symbol/fngn"
"FISI","Financial Institutions, Inc.","Finance","Major Banks","http://www.nasdaq.com/symbol/fisi"
"FNSR","Finisar Corporation","Technology","Semiconductors","http://www.nasdaq.com/symbol/fnsr"
"FNJN","Finjan Holdings, Inc.","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/fnjn"
"FNTE","FinTech Acquisition Corp. II","Finance","Business Services","http://www.nasdaq.com/symbol/fnte"
"FNTEU","FinTech Acquisition Corp. II","Finance","Business Services","http://www.nasdaq.com/symbol/fnteu"
"FNTEW","FinTech Acquisition Corp. II","Finance","Business Services","http://www.nasdaq.com/symbol/fntew"
"FEYE","FireEye, Inc.","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/feye"
"FBNC","First Bancorp","Finance","Major Banks","http://www.nasdaq.com/symbol/fbnc"
"FNLC","First Bancorp, Inc (ME)","Finance","Major Banks","http://www.nasdaq.com/symbol/fnlc"
"FRBA","First Bank","n/a","n/a","http://www.nasdaq.com/symbol/frba"
"BUSE","First Busey Corporation","Finance","Major Banks","http://www.nasdaq.com/symbol/buse"
"FBIZ","First Business Financial Services, Inc.","Finance","Major Banks","http://www.nasdaq.com/symbol/fbiz"
"FCAP","First Capital, Inc.","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fcap"
"FCFS","First Cash, Inc.","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/fcfs"
